Time, 9.056042, Position, (6.14, 0.01, -5.31), Velocity, 2371.124, Acceleration, 112193.5, AngleX, -0.1093762, AngleY, 47.77577, AngleZ, 90.12052, AngularSpeed, 13900.78
Time, 9.157529, Position, (6.84, 0.01, -4.54), Velocity, 1991.258, Acceleration, 125489.9, AngleX, -0.1361604, AngleY, 47.8053, AngleZ, 90.15019, AngularSpeed, 11240.17
Time, 9.265768, Position, (7.68, 0.01, -3.62), Velocity, 468.9154, Acceleration, -127829.2, AngleX, -0.2151817, AngleY, 47.8661, AngleZ, 90.23786, AngularSpeed, 2488.481
Time, 9.368329, Position, (8.44, 0.01, -2.78), Velocity, 1021.815, Acceleration, 5672.883, AngleX, -0.2026145, AngleY, 47.94275, AngleZ, 90.22457, AngularSpeed, 5138.375
Time, 9.470092, Position, (9.22, 0.01, -1.92), Velocity, 672.0217, Acceleration, -1630.222, AngleX, -0.4018092, AngleY, 47.97552, AngleZ, 90.44587, AngularSpeed, 3159.222
Time, 9.572171, Position, (10.03, 0.01, -1.03), Velocity, 245.6755, Acceleration, -8123.258, AngleX, -0.9646651, AngleY, 48.33917, AngleZ, 91.08418, AngularSpeed, 1069.078
Time, 9.674708, Position, (10.92, 0.01, -0.24), Velocity, 8339.163, Acceleration, 28488.26, AngleX, -0.6305, AngleY, 1.725177, AngleZ, 90.01899, AngularSpeed, 700.7442
Time, 9.776461, Position, (11.95, 0.02, 0.37), Velocity, 8678.797, Acceleration, 56945.12, AngleX, -9.705949, AngleY, 0.3231125, AngleZ, 90.05527, AngularSpeed, 353.4957
Time, 9.878439, Position, (12.98, 0.01, 0.95), Velocity, 8619.274, Acceleration, 78290.61, AngleX, -178.5552, AngleY, -1.142104, AngleZ, 90.02882, AngularSpeed, 1290.75
Time, 9.980539, Position, (14.21, 0.01, 1.61), Velocity, 8072.543, Acceleration, 216732.7, AngleX, -179.5026, AngleY, -2.974731, AngleZ, 90.02585, AngularSpeed, 2135.764
Time, 10.08132, Position, (15.33, 0.01, 2.10), Velocity, 7399.662, Acceleration, -2935.122, AngleX, -179.679, AngleY, -4.523194, AngleZ, 90.0254, AngularSpeed, 2550.156
Time, 10.18344, Position, (16.48, 0.01, 2.54), Velocity, 4909.217, Acceleration, -55568.59, AngleX, -179.8405, AngleY, -6.118018, AngleZ, 90.01711, AngularSpeed, 2038.59
Time, 10.28367, Position, (17.64, 0.01, 2.90), Velocity, 5572.978, Acceleration, -228804.3, AngleX, -179.7223, AngleY, -7.656354, AngleZ, 90.03733, AngularSpeed, 2636.589
Time, 10.38643, Position, (18.81, 0.02, 3.20), Velocity, 5377.13, Acceleration, -34545.33, AngleX, -179.6512, AngleY, -9.199597, AngleZ, 90.0565, AngularSpeed, 2814.892
Time, 10.48846, Position, (19.97, 0.01, 3.46), Velocity, 5790.936, Acceleration, 228833.8, AngleX, -179.7547, AngleY, -10.80743, AngleZ, 90.04681, AngularSpeed, 3305.994
Time, 10.59028, Position, (21.11, 0.01, 3.68), Velocity, 5444.419, Acceleration, 93603.34, AngleX, -179.8633, AngleY, -12.44719, AngleZ, 90.03017, AngularSpeed, 3349.071
Time, 10.69054, Position, (22.20, 0.01, 3.84), Velocity, 4008.471, Acceleration, 2083.797, AngleX, -179.8945, AngleY, -14.08106, AngleZ, 90.02647, AngularSpeed, 2627.656
Time, 10.79221, Position, (23.26, 0.01, 3.95), Velocity, 4215.569, Acceleration, -105520, AngleX, -179.9021, AngleY, -15.73446, AngleZ, 90.02758, AngularSpeed, 2924.424
Time, 10.8934, Position, (24.26, 0.01, 4.03), Velocity, 4330.781, Acceleration, -13255.69, AngleX, -179.9044, AngleY, -17.42109, AngleZ, 90.03001, AngularSpeed, 3165.161
Time, 10.99379, Position, (25.21, 0.01, 4.07), Velocity, 3993.314, Acceleration, 28536.31, AngleX, -179.9028, AngleY, -19.1493, AngleZ, 90.03374, AngularSpeed, 3066.155
Time, 11.09449, Position, (26.10, 0.01, 4.09), Velocity, 3633.529, Acceleration, -56894.79, AngleX, -179.9082, AngleY, -20.92588, AngleZ, 90.03512, AngularSpeed, 2924.575
Time, 11.19533, Position, (26.94, 0.01, 4.09), Velocity, 3419.332, Acceleration, -22550.63, AngleX, -179.8902, AngleY, -22.74855, AngleZ, 90.04605, AngularSpeed, 2878.999
Time, 11.29607, Position, (27.72, 0.01, 4.06), Velocity, 2916.133, Acceleration, -76983.19, AngleX, -179.9109, AngleY, -24.60676, AngleZ, 90.04079, AngularSpeed, 2563.069
Time, 11.3972, Position, (28.45, 0.01, 4.00), Velocity, 2930.27, Acceleration, 8466.701, AngleX, -179.8669, AngleY, -26.40645, AngleZ, 90.06608, AngularSpeed, 2674.848
Time, 11.49777, Position, (29.12, 0.01, 3.91), Velocity, 2638.956, Acceleration, -8529.863, AngleX, -179.8218, AngleY, -28.13659, AngleZ, 90.09528, AngularSpeed, 2492.251
Time, 11.59839, Position, (29.75, 0.01, 3.79), Velocity, 2490.005, Acceleration, -1500.645, AngleX, -179.8221, AngleY, -29.80454, AngleZ, 90.10191, AngularSpeed, 2423.407
Time, 11.69878, Position, (30.33, 0.01, 3.65), Velocity, 2254.565, Acceleration, 116006.3, AngleX, -179.8148, AngleY, -31.29562, AngleZ, 90.11257, AngularSpeed, 2247.46
Time, 11.80023, Position, (30.89, 0.01, 3.46), Velocity, 2021.576, Acceleration, -26471.01, AngleX, -179.8026, AngleY, -32.74709, AngleZ, 90.12693, AngularSpeed, 2058.662
Time, 11.90084, Position, (31.37, 0.01, 3.24), Velocity, 1897.232, Acceleration, 25465.33, AngleX, -179.8095, AngleY, -33.50114, AngleZ, 90.1261, AngularSpeed, 1941.336
Time, 12.0023, Position, (31.82, 0.01, 2.97), Velocity, 1547.458, Acceleration, -19952.65, AngleX, -179.7717, AngleY, -33.8912, AngleZ, 90.15338, AngularSpeed, 1576.803
Time, 12.10442, Position, (32.24, 0.01, 2.66), Velocity, 1175.709, Acceleration, -73634.96, AngleX, -179.8086, AngleY, -33.58393, AngleZ, 90.12708, AngularSpeed, 1172.983
Time, 12.20656, Position, (32.66, 0.01, 2.32), Velocity, 975.9553, Acceleration, 17446.15, AngleX, -179.7304, AngleY, -32.63783, AngleZ, 90.17268, AngularSpeed, 937.7738
Time, 12.30809, Position, (33.10, 0.01, 1.95), Velocity, 1025.388, Acceleration, 45516.27, AngleX, -179.7297, AngleY, -31.11763, AngleZ, 90.16315, AngularSpeed, 933.4529
Time, 12.40883, Position, (33.58, 0.01, 1.57), Velocity, 809.4717, Acceleration, 3933.471, AngleX, -179.7059, AngleY, -29.17292, AngleZ, 90.16421, AngularSpeed, 685.9614
Time, 12.5091, Position, (34.11, 0.01, 1.20), Velocity, 588.0606, Acceleration, -2768.543, AngleX, -179.5017, AngleY, -26.53851, AngleZ, 90.24886, AngularSpeed, 450.4996
Time, 12.61201, Position, (34.70, 0.01, 0.83), Velocity, 291.7297, Acceleration, -13769.39, AngleX, -179.13, AngleY, -22.46753, AngleZ, 90.35981, AngularSpeed, 187.753
Time, 12.71372, Position, (35.35, 0.01, 0.52), Velocity, 44.81773, Acceleration, -1677.863, AngleX, -161.2594, AngleY, -5.959158, AngleZ, 92.02826, AngularSpeed, 7.497174
